datetime,name,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
2024-02-20 00:00:00,"61.15,13.267",-2.0,-4.1,-3.0,92.86,0.0,0.0,,0.0,73.7,9.7,5.4,230.0,1012.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 01:00:00,"61.15,13.267",-2.0,-4.1,-3.0,92.86,0.0,0.0,,0.0,73.5,12.2,5.4,250.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 02:00:00,"61.15,13.267",-2.0,-5.0,-3.0,92.86,0.0,0.0,,0.0,73.4,13.0,7.6,240.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 03:00:00,"61.15,13.267",-3.0,-7.3,-3.0,100.0,0.0,0.0,,0.0,73.4,13.3,11.2,240.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 04:00:00,"61.15,13.267",-3.0,-6.7,-3.0,100.0,0.0,0.0,,0.0,73.3,11.9,9.4,230.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 05:00:00,"61.15,13.267",-3.0,-6.1,-4.0,92.8,0.0,0.0,,0.0,73.3,11.5,7.6,230.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 06:00:00,"61.15,13.267",-3.0,-6.7,-4.0,92.8,0.0,0.0,,0.0,73.3,10.8,9.4,240.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 07:00:00,"61.15,13.267",-3.0,-6.7,-4.0,92.8,0.0,0.0,,0.0,73.7,11.5,9.4,250.0,1011.0,66.3,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"ESKM,F7772"
2024-02-20 08:00:00,"61.15,13.267",-3.0,-6.1,-4.0,92.8,0.0,0.0,,0.0,73.7,13.0,7.6,240.0,1011.0,100.0,10.0,15.0,0.1,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 09:00:00,"61.15,13.267",-3.0,-6.7,-4.0,92.8,0.0,0.0,,0.0,73.7,13.3,9.4,250.0,1011.0,76.5,10.0,88.0,0.3,1,10,Partially cloudy,partly-cloudy-day,"ESKM,F7772"
2024-02-20 10:00:00,"61.15,13.267",-2.0,-6.1,-4.0,86.18,0.0,0.0,,0.0,73.7,13.3,11.2,240.0,1011.0,48.0,10.0,174.0,0.6,2,10,Partially cloudy,partly-cloudy-day,"ESKM,F7772"
2024-02-20 11:00:00,"61.15,13.267",0.0,-2.6,-3.0,80.22,0.0,0.0,,0.0,73.6,11.9,7.6,240.0,1011.0,93.0,10.0,266.0,1.0,3,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 12:00:00,"61.15,13.267",0.0,-1.8,-3.0,80.22,0.0,0.0,,0.0,73.5,12.6,5.4,220.0,1011.0,100.0,10.0,232.0,0.8,2,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 13:00:00,"61.15,13.267",1.0,-0.7,-3.0,74.63,0.0,0.0,,0.0,73.3,12.6,5.4,243.1,1010.0,100.0,10.0,197.0,0.7,2,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 14:00:00,"61.15,13.267",2.0,-0.3,-3.0,69.47,0.0,0.0,,0.0,73.1,14.4,7.6,150.0,1010.0,99.9,10.0,146.0,0.5,1,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 15:00:00,"61.15,13.267",-1.0,-3.8,-4.0,80.08,0.0,0.0,,0.0,72.9,15.8,7.6,100.0,1010.0,100.0,10.0,87.0,0.3,1,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 16:00:00,"61.15,13.267",-1.0,-3.0,-4.0,80.08,0.0,0.0,,0.0,72.8,16.6,5.4,150.0,1009.0,100.0,10.0,34.0,0.1,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 17:00:00,"61.15,13.267",-1.0,-3.0,-4.0,80.08,0.0,0.0,,0.0,72.7,15.8,5.4,150.0,1009.0,95.9,10.0,8.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 18:00:00,"61.15,13.267",0.0,-4.1,-3.0,80.22,0.0,0.0,,0.0,72.6,15.1,13.0,190.0,1008.0,89.6,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"ESKM,F7772"
2024-02-20 19:00:00,"61.15,13.267",-1.0,-4.4,-3.0,86.28,0.0,0.0,,0.0,72.5,15.8,9.4,200.0,1008.0,98.6,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 20:00:00,"61.15,13.267",-1.0,-4.9,-3.0,86.28,0.0,0.0,,0.0,72.5,18.0,11.2,210.0,1007.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 21:00:00,"61.15,13.267",-1.0,-4.4,-3.0,86.28,0.0,0.0,,0.0,72.5,19.1,9.4,190.0,1007.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 22:00:00,"61.15,13.267",-2.2,-4.9,-3.2,92.85,0.2,29.0,freezingrain,0.1,72.6,18.7,6.8,228.6,1007.0,100.0,1.9,0.0,0.0,0,10,Overcast,cloudy,
