datetime,name,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
2024-02-20 00:00:00,"61.067,14.317",-2.0,-4.1,-3.0,92.86,0.0,0.0,,0.0,55.2,13.0,5.4,230.0,1012.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 01:00:00,"61.067,14.317",-2.0,-4.1,-3.0,92.86,0.0,0.0,,0.0,55.2,14.4,5.4,250.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 02:00:00,"61.067,14.317",-2.0,-5.0,-3.0,92.86,0.0,0.0,,0.0,55.2,14.4,7.6,240.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 03:00:00,"61.067,14.317",-3.0,-7.3,-3.0,100.0,0.0,0.0,,0.0,55.2,15.1,11.2,240.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 04:00:00,"61.067,14.317",-3.0,-6.7,-3.0,100.0,0.0,0.0,,0.0,55.2,16.6,9.4,230.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 05:00:00,"61.067,14.317",-3.0,-6.1,-4.0,92.8,0.0,0.0,,0.0,55.1,17.6,7.6,230.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 06:00:00,"61.067,14.317",-3.0,-6.7,-4.0,92.8,0.0,0.0,,0.0,55.1,18.7,9.4,240.0,1011.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 07:00:00,"61.067,14.317",-3.0,-6.7,-4.0,92.8,0.0,0.0,,0.0,55.2,19.4,9.4,250.0,1011.0,11.3,10.0,0.0,0.0,0,10,Clear,clear-night,"ESKM,F7772"
2024-02-20 08:00:00,"61.067,14.317",-3.0,-6.1,-4.0,92.8,0.0,0.0,,0.0,55.2,20.9,7.6,240.0,1011.0,100.0,10.0,15.0,0.1,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 09:00:00,"61.067,14.317",-3.0,-6.7,-4.0,92.8,0.0,0.0,,0.0,55.2,20.9,9.4,250.0,1011.0,6.1,10.0,88.0,0.3,1,10,Clear,clear-day,"ESKM,F7772"
2024-02-20 10:00:00,"61.067,14.317",-2.0,-6.1,-4.0,86.18,0.0,0.0,,0.0,55.2,20.5,11.2,240.0,1011.0,16.8,10.0,174.0,0.6,2,10,Clear,clear-day,"ESKM,F7772"
2024-02-20 11:00:00,"61.067,14.317",0.0,-2.6,-3.0,80.22,0.0,0.0,,0.0,55.1,19.8,7.6,240.0,1011.0,3.1,10.0,266.0,1.0,3,10,Clear,clear-day,"ESKM,F7772"
2024-02-20 12:00:00,"61.067,14.317",0.0,-1.8,-3.0,80.22,0.0,0.0,,0.0,54.9,22.0,5.4,220.0,1011.0,100.0,10.0,232.0,0.8,2,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 13:00:00,"61.067,14.317",1.0,-0.7,-3.0,74.63,0.0,0.0,,0.0,53.1,14.8,5.4,257.4,1010.0,100.0,10.0,197.0,0.7,2,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 14:00:00,"61.067,14.317",2.0,-0.3,-3.0,69.47,0.0,0.0,,0.0,52.9,14.8,7.6,150.0,1010.0,57.5,10.0,146.0,0.5,1,10,Partially cloudy,partly-cloudy-day,"ESKM,F7772"
2024-02-20 15:00:00,"61.067,14.317",-1.0,-3.8,-4.0,80.08,0.0,0.0,,0.0,52.7,17.3,7.6,100.0,1010.0,56.6,10.0,87.0,0.3,1,10,Partially cloudy,partly-cloudy-day,"ESKM,F7772"
2024-02-20 16:00:00,"61.067,14.317",-1.0,-3.0,-4.0,80.08,0.0,0.0,,0.0,52.5,18.7,5.4,150.0,1009.0,84.5,10.0,34.0,0.1,0,10,Partially cloudy,partly-cloudy-day,"ESKM,F7772"
2024-02-20 17:00:00,"61.067,14.317",-1.0,-3.0,-4.0,80.08,0.0,0.0,,0.0,52.4,22.0,5.4,150.0,1009.0,71.2,10.0,8.0,0.0,0,10,Partially cloudy,partly-cloudy-day,"ESKM,F7772"
2024-02-20 18:00:00,"61.067,14.317",0.0,-4.1,-3.0,80.22,0.0,0.0,,0.0,52.3,24.1,13.0,190.0,1008.0,41.5,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,"ESKM,F7772"
2024-02-20 19:00:00,"61.067,14.317",-1.0,-4.4,-3.0,86.28,0.0,0.0,,0.0,52.2,23.4,9.4,200.0,1008.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
2024-02-20 20:00:00,"61.067,14.317",-1.0,-4.9,-3.0,86.28,0.0,0.0,,0.0,52.2,24.8,11.2,210.0,1007.0,100.0,10.0,0.0,0.0,0,10,Overcast,cloudy,"ESKM,F7772"
